REGIÃO_BARREIRO,REGIÃO_CENTRO-SUL,REGIÃO_DESCONHECIDO,REGIÃO_LESTE,REGIÃO_NORDESTE,REGIÃO_NOROESTE,REGIÃO_NORTE,REGIÃO_OESTE,REGIÃO_PAMPULHA,REGIÃO_VENDA NOVA,ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
False,False,True,False,False,False,False,False,False,False,2022,12,4,24.24,24.24
False,True,False,False,False,False,False,False,False,False,2024,12,4,27.9,27.82
False,False,True,False,False,False,False,False,False,False,2022,5,2,55.32,74.85
False,True,False,False,False,False,False,False,False,False,2023,12,4,193.17,182.68
False,False,True,False,False,False,False,False,False,False,2023,11,4,2303.45,1528.9
False,True,False,False,False,False,False,False,False,False,2023,9,3,498.43,498.4
False,False,False,False,False,False,False,True,False,False,2023,7,3,295.32,79.43
False,False,False,False,False,False,False,False,False,True,2024,2,1,1508.27,2280.97
False,False,True,False,False,False,False,False,False,False,2024,12,4,37.34,40.78
False,False,False,False,False,False,False,False,False,True,2023,2,1,42.18,48.69
False,False,False,False,False,False,False,True,False,False,2022,12,4,27.98,27.98
False,True,False,False,False,False,False,False,False,False,2023,1,1,879.4,279.57
False,True,False,False,False,False,False,False,False,False,2023,9,3,68.01,67.99
False,False,False,False,False,False,False,True,False,False,2022,4,2,189.44,123.69
False,False,True,False,False,False,False,False,False,False,2023,6,2,56.48,48.8
False,False,True,False,False,False,False,False,False,False,2023,12,4,53.65,136.09
False,False,False,False,False,True,False,False,False,False,2024,10,4,331.63,293.89
False,False,True,False,False,False,False,False,False,False,2024,1,1,426.88,482.34
False,True,False,False,False,False,False,False,False,False,2022,8,3,579.43,25.03
False,False,False,False,False,True,False,False,False,False,2023,3,1,881.42,256.07
False,False,True,False,False,False,False,False,False,False,2023,2,1,24.34,24.28
False,False,False,False,False,False,True,False,False,False,2023,7,3,864.39,1002.48
False,False,True,False,False,False,False,False,False,False,2023,8,3,1005.67,125.82
False,False,False,False,False,True,False,False,False,False,2022,7,3,404.34,338.18
False,False,False,False,False,False,False,False,False,True,2024,10,4,40.7,251.41
False,False,True,False,False,False,False,False,False,False,2023,9,3,554.71,536.31
False,False,False,False,False,False,False,False,True,False,2023,9,3,99.61,99.87
False,False,False,False,False,False,False,True,False,False,2023,4,2,31.93,27.98
False,False,True,False,False,False,False,False,False,False,2024,12,4,182.57,144.92
False,False,True,False,False,False,False,False,False,False,2022,11,4,907.82,827.72
False,False,False,False,False,False,True,False,False,False,2022,11,4,61.77,61.73
False,False,True,False,False,False,False,False,False,False,2022,7,3,24.24,123.82
True,False,False,False,False,False,False,False,False,False,2024,3,1,790.64,844.72
False,False,False,False,True,False,False,False,False,False,2023,3,1,434.3,421.23
False,False,True,False,False,False,False,False,False,False,2024,12,4,203.85,278.04
False,False,False,False,False,False,False,False,True,False,2024,9,3,135.05,122.31
False,False,False,False,False,False,True,False,False,False,2023,4,2,795.08,70.0
False,False,False,False,False,False,False,False,True,False,2022,10,4,970.14,2092.08
False,False,True,False,False,False,False,False,False,False,2024,9,3,4395.78,3906.36
False,False,False,True,False,False,False,False,False,False,2022,7,3,2032.36,1530.37
False,False,False,False,False,False,False,False,True,False,2024,2,1,143.4,188.93
False,True,False,False,False,False,False,False,False,False,2022,10,4,150.03,136.68
False,True,False,False,False,False,False,False,False,False,2024,4,2,70.85,55.08
False,False,False,False,False,False,False,True,False,False,2024,10,4,55.98,62.17
False,True,False,False,False,False,False,False,False,False,2024,8,3,32.15,32.11
